"","X","Lng","Lat","Cid","tradeTime","DOM","followers","totalPrice","price","square","livingRoom","drawingRoom","kitchen","bathRoom","floor","buildingType","constructionTime","renovationCondition","buildingStructure","ladderRatio","elevator","fiveYearsProperty","subway","district","communityAverage"
"22852",22852,116.386742,39.845373,1111027381060,"2016-12-07",132,3,272,41382,65.73,1,1,1,1,13,"Plate/Tower",1998,"Simplicit","Steel/Concrete",2,"Has_Elevator","Ownership < 5y","Has_Subway","FengTai",49715
"190737",190737,116.432142,39.902354,1111027380930,"2015-08-16",7,21,175,55345,31.62,1,0,1,1,15,"Plate/Tower",2008,"Simplicit","Steel/Concrete",0.286,"Has_Elevator","Ownership > 5y","Has_Subway","DongCheng",95392
"57423",57423,116.643924,39.889841,1111027377211,"2017-02-27",41,15,530,51006,103.91,2,2,1,2,12,"Plate/Tower",2006,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","TongZhou",43196
"141983",141983,116.47638,39.875691,1111027378305,"2014-06-03",7,0,393,38915,100.99,2,1,1,1,25,"Tower",2010,"Hardcover","Steel/Concrete",0.375,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",65820
"267165",267165,116.5467,39.76028,1111027380858,"2013-01-07",7,0,112,15072,74.31,2,1,1,1,6,"Plate",2003,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","DaXing",32924
"83175",83175,116.488832,39.932702,1111027380005,"2017-09-17",4,13,520,67489,77.05,2,1,1,1,18,"Tower",1996,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",61237
"217989",217989,116.4169,39.85019,1111027378473,"2015-05-03",7,3,190,32647,58.2,2,1,1,1,6,"Plate",1991,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","FengTai",50104
"197532",197532,116.344557,39.780149,1111027381756,"2013-03-02",7,1,205,21793,94.07,2,2,1,1,6,"Plate",2001,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","FaXing",45149
"42559",42559,116.652626,39.909058,1111027379220,"2016-11-14",30,40,245,45855,53.43,1,1,1,1,6,"Plate",1996,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","TongZhou",46078
"268141",268141,116.678,39.93347,1111027377893,"2013-04-29",1,0,146,20454,71.38,3,2,1,2,6,"Plate",2003,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","TongZhou",43663
"1252",1252,116.479409,39.929394,1111027378367,"2017-02-19",361,8,309,60589,51,1,0,1,1,20,"Tower",2004,"Hardcover","Steel/Concrete",0.086,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",59307
"40056",40056,116.385336,39.905491,1111027381288,"2016-10-29",26,44,466,111085,41.95,2,1,1,1,11,"Plate",1979,"Simplicit","Steel/Concrete",0.167,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",111445
"289143",289143,116.3451,39.88425,1111027376719,"2015-07-24",1,14,270,47907,56.36,2,1,1,1,6,"Plate",1994,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","XiCheng",86953
"201765",201765,116.344664,39.802705,1111027380687,"2015-08-01",1,0,309,25830,119.63,3,2,1,1,6,"Plate",2003,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","FaXing",41367
"183693",183693,116.414432,39.977111,1111027375569,"2012-07-20",7,0,248,31497,78.74,2,2,1,1,18,"Tower",1996,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","Has_Subway","DongCheng",87505
"245084",245084,116.2891,39.92345,1111027382487,"2016-01-20",1,12,1510,84302,179.12,4,2,1,2,14,"Plate",2004,"Hardcover","Steel/Concrete",1,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",104621
"257735",257735,116.2361,39.89997,1111027382550,"2016-01-08",1,5,192,30657,62.63,1,1,1,1,24,"Tower",2003,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","ShiJingShan",49581
"124165",124165,116.413621,40.013277,1111027375534,"2012-12-26",7,0,230,34468,66.73,2,1,1,1,25,"Tower",1997,"Other","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",59366
"246983",246983,116.3826,39.9837,1111027378253,"2016-03-19",7,44,379,65685,57.7,2,1,1,1,6,"Plate",1989,"Simplicit","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","HaiDian",89952
"234970",234970,116.3133,39.98103,1111027374069,"2014-01-09",7,6,260,47593,54.63,2,1,1,1,6,"Plate",1989,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",92624
"37209",37209,116.342295,40.002937,1111027381301,"2016-11-22",63,48,384,89303,43,1,1,1,1,6,"Plate",1987,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",97372
"153483",153483,116.57395,39.92878,1111027376842,"2015-04-02",7,33,230,25345,90.75,2,1,1,1,18,"Plate/Tower",2006,"Hardcover","Steel/Concrete",0.667,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",44000
"184789",184789,116.412788,39.958761,1111027379462,"2012-07-22",7,0,217,33933,63.95,2,1,1,1,18,"Tower",1988,"Other","Mixed",0.286,"Has_Elevator","Ownership > 5y","Has_Subway","DongCheng",84368
"188426",188426,116.419045,39.868693,1111027377411,"2015-01-09",7,13,215,35108,61.24,3,1,1,1,6,"Plate",1985,"Simplicit","Brick/Concrete",0.333,"No_elevator","Ownership < 5y","Has_Subway","DongCheng",67927
"257701",257701,116.1629,39.93901,1111027378401,"2016-03-12",1,5,175,28511,61.38,2,1,1,1,6,"Plate",1991,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ShiJingShan",39314
"52466",52466,116.128533,39.723864,1111027377376,"2016-12-19",3,0,332.5,23357,142.36,3,2,1,2,6,"Plate",2003,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","FangShang",30846
"202721",202721,116.334045,39.757413,1111027382766,"2015-09-21",1,0,120.1,21134,56.82,1,1,1,1,6,"Plate",1995,"Simplicit","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","FaXing",39845
"233701",233701,116.347,40.03511,1111027378259,"2013-08-18",7,0,175,37474,46.7,1,1,1,1,5,"Plate",1979,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","HaiDian",64316
"100750",100750,116.439341,40.082372,1111027380043,"2015-04-05",7,15,190,19608,96.9,2,1,1,2,6,"Plate",2004,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ChangPing",38281
"126168",126168,116.471348,39.90062,1111027379153,"2013-02-26",7,0,230,39030,58.93,1,0,1,1,21,"Plate/Tower",2005,"Other","Steel/Concrete",0.286,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",81582
"75117",75117,116.353539,39.979585,1111027380127,"2017-08-24",80,51,830,61505,134.95,3,1,1,2,26,"Tower",1999,"Simplicit","Steel/Concrete",0.3,"Has_Elevator","Ownership > 5y","Has_Subway","HaiDian",75239
"97781",97781,116.38138,40.092631,1111027377945,"2013-11-10",7,50,288,23144,124.44,3,2,1,2,6,"Plate",2007,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",35386
"70824",70824,116.472064,39.88768,1111027378492,"2017-04-28",19,81,438,69053,63.43,2,1,1,1,24,"Tower",1996,"Simplicit","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",57680
"154042",154042,116.437964,39.99799,1111041652805,"2015-03-14",7,0,563.9,63020,89.48,2,1,1,1,18,"Plate",2009,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",105938
"147259",147259,116.523444,39.92445,1111027376687,"2014-11-16",7,1,400,32903,121.57,3,2,1,2,29,"Tower",1999,"Hardcover","Steel/Concrete",0.375,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",58126
"244093",244093,116.257,40.05495,1111027376153,"2015-08-31",1,4,900,46584,193.2,4,2,1,2,5,"Plate",2005,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",75490
"28471",28471,116.512916,39.864254,1111027376354,"2016-11-20",93,272,410,43687,93.85,2,2,1,1,6,"Plate",2005,"Hardcover","Brick/Concrete",0.5,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",46072
"248374",248374,116.3801,39.98542,1111027381484,"2016-03-01",1,23,429,60765,70.6,3,1,1,1,6,"Plate",1985,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",82764
"187438",187438,116.452901,39.901073,1111027382190,"2014-03-01",7,3,254,40000,63.5,1,1,1,1,22,"Tower",2002,"Other","Steel/Concrete",0.231,"Has_Elevator","Ownership < 5y","Has_Subway","DongCheng",85557
"243508",243508,116.2787,39.93906,1111027381067,"2015-11-15",7,110,205,34864,58.8,2,1,1,1,7,"Tower",1992,"Simplicit","Brick/Concrete",0.25,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",72168
"119162",119162,116.491575,39.984428,1111027374616,"2012-04-29",7,0,135,22797,59.22,1,1,1,1,16,"Tower",1988,"Other","Steel/Concrete",0.222,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",57285
"39770",39770,116.313465,39.856611,1111027379296,"2016-10-28",27,45,304.5,57890,52.6,1,1,1,1,18,"Tower",2006,"Simplicit","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","FengTai",53205
"9542",9542,116.49709,39.985968,1111027380612,"2016-06-24",26,15,493,35107,140.43,2,2,1,2,26,"Tower",2002,"Hardcover","Steel/Concrete",0.375,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",52106
"246057",246057,116.257,40.05495,1111027376153,"2015-10-25",7,5,655,54946,119.21,3,2,1,2,5,"Plate",2005,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","HaiDian",75490
"201749",201749,116.342088,39.749733,1111027378968,"2015-09-21",7,12,159,23263,68.35,2,1,1,1,6,"Plate",1993,"Simplicit","Brick/Concrete",0.167,"No_elevator","Ownership < 5y","Has_Subway","FaXing",41149
"210137",210137,116.2581,39.84449,1111027374375,"2012-12-12",7,0,125,16186,77.23,3,1,1,1,6,"Plate",1990,"Other","Mixed",0.25,"No_elevator","Ownership < 5y","No_Subway","FengTai",44242
"24735",24735,116.441781,39.991956,1111027379657,"2016-12-06",124,373,706,68134,103.62,2,1,1,1,28,"Tower",2005,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",70655
"155791",155791,116.480675,39.868869,1111027382783,"2015-04-07",7,5,189,35394,53.4,1,1,1,1,6,"Plate",2004,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",60403
"68250",68250,116.314787,39.981606,1111027374928,"2017-09-18",186,97,600,98200,61.1,2,1,1,1,11,"Plate/Tower",1988,"Hardcover","Steel/Concrete",0.333,"No_elevator","Ownership > 5y","Has_Subway","HaiDian",92592
"115631",115631,116.409805,39.969951,1111027375603,"2011-11-18",7,0,145,26572,54.57,2,1,1,1,6,"Plate",1984,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",71432
"258354",258354,116.2215,39.90547,1111027378940,"2016-06-11",1,76,303,39209,77.28,2,1,1,1,19,"Tower",1996,"Simplicit","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","ShiJingShan",51436
"160329",160329,116.421401,40.034126,1111027374298,"2015-06-04",1,0,450,35926,125.26,2,1,1,1,30,"Tower",2003,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",60338
"231902",231902,116.3323,39.96593,1111027378541,"2013-03-14",7,0,233,56417,41.3,1,1,1,1,5,"Plate",1992,"Other","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","HaiDian",109300
"147009",147009,116.459932,39.929704,1111027378480,"2014-10-17",7,4,410,49014,83.65,3,1,1,1,6,"Plate",1988,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",86459
"175881",175881,116.566103,39.92841,1111027378380,"2016-06-07",7,99,170,35292,48.17,1,0,1,1,14,"Plate",2003,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",56764
"237251",237251,116.3585,40.01754,1111027376447,"2015-07-05",7,4,336.5,37623,89.44,2,1,1,1,27,"Tower",2002,"Other","Steel/Concrete",0.188,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",67774
"109631",109631,116.416156,40.082585,1111027380054,"2016-01-30",7,9,305,17572,173.58,3,1,1,2,13,"Plate",2003,"Simplicit","Mixed",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChangPing",33820
"61752",61752,116.638919,39.900576,1111027376334,"2017-02-28",12,71,308,57378,53.68,1,1,1,1,22,"Tower",2009,"Hardcover","Steel/Concrete",0.167,"Has_Elevator","Ownership < 5y","No_Subway","TongZhou",45099
"239817",239817,116.2604,39.92766,1111027381744,"2015-01-23",7,1,310,50737,61.1,2,1,1,1,6,"Plate",2000,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","HaiDian",63813
"170469",170469,116.484125,39.832234,1111027378054,"2016-01-12",7,7,312,25682,121.49,3,2,1,1,16,"Tower",2003,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",44274
"168804",168804,116.562965,39.966574,1111043479283,"2015-12-01",7,7,245,33334,73.5,2,1,1,1,18,"Plate",2011,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",43538
"13604",13604,116.481385,39.874867,1111027378657,"2016-08-04",47,26,182,36328,50.1,1,1,1,1,24,"Tower",1996,"Simplicit","Steel/Concrete",0.2,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",59744
"57504",57504,116.333347,39.904872,1111027373990,"2017-02-27",41,103,480,88725,54.1,2,1,1,1,5,"Plate",1980,"Simplicit","Brick/Concrete",0.333,"No_elevator","Ownership > 5y","Has_Subway","HaiDian",71700
"6890",6890,116.512916,39.966511,1111027374215,"2016-07-24",77,42,482,41994,114.78,3,2,1,2,24,"Tower",2008,"Simplicit","Steel/Concrete",0.286,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",57709
"270677",270677,116.6405,39.91106,1111027380000,"2014-12-27",1,3,283,23635,119.74,3,2,1,2,13,"Plate/Tower",2009,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","Has_Subway","TongZhou",47875
"27491",27491,116.428389,39.99699,1111027375593,"2016-08-29",15,44,318,55372,57.43,2,1,1,1,7,"Plate",1994,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",64901
"10482",10482,116.495788,39.966773,1111027377466,"2016-07-17",43,74,230,40594,56.66,2,1,1,1,5,"Plate",1979,"Hardcover","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",57361
"194169",194169,116.397236,39.864463,1111027375866,"2016-03-26",1,6,318,39294,80.93,2,1,1,1,24,"Tower",2000,"Hardcover","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",55113
"127908",127908,116.612765,39.905006,1111027374043,"2013-01-09",7,0,210,23352,89.93,2,1,1,1,10,"Plate",2005,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",45447
"92671",92671,116.423504,40.083027,1111027380047,"2013-03-16",7,1,330,13610,242.47,4,2,1,2,7,"Plate",2004,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","ChangPing",36629
"161043",161043,116.482231,40.009521,1111027380322,"2015-09-22",7,24,350,35176,99.5,2,2,1,1,28,"Tower",1999,"Hardcover","Steel/Concrete",0.375,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",66864
"286967",286967,116.3867,39.96379,1111027380104,"2015-04-23",7,15,332,70941,46.8,2,1,1,1,5,"Plate",1985,"Simplicit","Mixed",0.25,"No_elevator","Ownership < 5y","No_Subway","XiCheng",106212
"70990",70990,116.497552,39.96603,1111027378010,"2017-06-24",74,91,770,65627,117.33,2,2,1,2,10,"Plate",2003,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",60578
"237612",237612,116.3362,39.9322,1111027374608,"2014-10-14",7,7,333,48756,68.3,2,1,1,1,9,"Plate/Tower",1994,"Simplicit","Steel/Concrete",0.667,"Has_Elevator","Ownership < 5y","Has_Subway","HaiDian",83944
"44776",44776,116.291025,39.821878,1111027374261,"2016-12-10",41,22,343,54488,62.95,1,1,1,1,7,"Plate",2004,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","FengTai",51127
"30061",30061,116.435471,40.109315,1111046362161,"2016-08-26",1,0,269,35867,75,2,1,1,1,7,"Plate",1996,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","ChangPing",34854
"222343",222343,116.4169,39.85019,1111027378473,"2016-03-01",1,32,160,34431,46.47,1,1,1,1,6,"Plate",1990,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","FengTai",50104
"22372",22372,116.403304,39.891691,1111027379974,"2016-08-20",25,33,389,63552,61.21,1,1,1,1,12,"Tower",2002,"Simplicit","Steel/Concrete",0.133,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",73910
"150664",150664,116.605035,40.051164,1111027378574,"2014-12-14",7,0,115,20088,57.25,2,1,1,1,6,"Plate",1992,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",39605
"83929",83929,116.417991,39.956806,1111027375656,"2017-11-13",52,99,601,97203,61.83,2,1,1,1,16,"Tower",1988,"Hardcover","Steel/Concrete",0.286,"Has_Elevator","Ownership < 5y","Has_Subway","DongCheng",97274
"38876",38876,116.599448,40.048301,1111027378683,"2016-11-11",45,111,307,24635,124.62,3,2,1,2,6,"Plate",1996,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","MenTouGou",35730
"101414",101414,116.330198,40.074228,1111027381003,"2014-11-09",7,0,357.5,28215,126.71,3,2,1,2,15,"Plate",2007,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","ChangPing",50205
"5118",5118,116.306396,39.922465,1111027376585,"2016-07-27",99,23,580,74093,78.28,2,1,1,1,20,"Plate/Tower",2002,"Simplicit","Steel/Concrete",0.3,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",89521
"16814",16814,116.233676,40.231785,1111027375855,"2016-08-25",54,18,155,27386,56.6,2,1,1,1,4,"Plate",1984,"Other","Mixed",0.333,"No_elevator","Ownership > 5y","No_Subway","ChangPing",41537
"100224",100224,116.359156,40.079209,1111027378212,"2014-11-09",1,2,296,20843,142.02,3,2,1,2,6,"Plate",2005,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",37700
"187841",187841,116.433722,39.926854,1111027374267,"2015-05-01",1,14,500,55237,90.52,2,1,1,1,6,"Plate",2003,"Hardcover","Steel/Concrete",0.333,"No_elevator","Ownership < 5y","Has_Subway","DongCheng",103018
"116805",116805,116.409805,39.969951,1111027375603,"2012-01-16",7,0,113.2,25467,44.45,1,1,1,1,6,"Plate",1999,"Other","Mixed",0.25,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",71432
"204842",204842,116.458721,39.817347,1111027381363,"2016-04-25",7,14,182,42905,42.42,2,1,1,1,5,"Plate",2003,"Simplicit","Mixed",0.048,"No_elevator","Ownership < 5y","No_Subway","FaXing",46635
"122687",122687,116.559704,39.92503,1111027373756,"2012-09-11",7,0,218,21090,103.37,2,2,1,1,7,"Plate",2005,"Other","Steel/Concrete",0.167,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",50512
"27976",27976,116.469439,39.891382,1111027374187,"2016-09-06",20,6,260,53290,48.79,1,0,1,1,23,"Tower",2003,"Hardcover","Steel/Concrete",0.176,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",62443
"295873",295873,116.5064,39.80624,1111027378014,"2016-01-14",1,15,180,27097,66.43,2,1,1,1,15,"Plate/Tower",2000,"Simplicit","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","Has_Subway","DaXing",58612
"54059",54059,116.330839,39.847582,1111027380386,"2017-03-07",70,81,360,57804,62.28,2,1,1,1,20,"Tower",2004,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","FengTai",50952
"15932",15932,116.695201,39.934643,1111027375151,"2016-07-25",27,8,203,35778,56.74,1,1,1,1,6,"Plate",2000,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","TongZhou",36953
"293993",293993,116.3813,39.97087,1111027380697,"2016-03-21",7,9,564,103487,54.5,2,1,1,1,6,"Plate",1983,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","XiCheng",130635
"97268",97268,116.360745,40.088084,1111027377581,"2013-08-19",1,0,219,34321,63.81,1,1,1,1,8,"Plate",2007,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","Has_Subway","ChangPing",57479
"172961",172961,116.594886,39.910677,1111027376678,"2015-12-24",7,7,128,30535,41.92,1,0,1,1,15,"Tower",2006,"Simplicit","Steel/Concrete",0.6,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",45177
"227423",227423,116.3102,39.98749,1111027373705,"2012-04-08",7,0,151,26543,56.89,1,0,1,1,18,"Plate/Tower",2004,"Other","Steel/Concrete",0.161,"Has_Elevator","Ownership < 5y","Has_Subway","HaiDian",79927
"80546",80546,116.473756,40.002381,1111027380691,"2017-11-17",96,0,542,77143,70.26,1,1,1,1,22,"Plate",2003,"Hardcover","Steel/Concrete",0.188,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",72473
"263503",263503,116.673,40.13829,1111027373964,"2015-11-02",7,15,138,19374,71.23,2,1,1,1,6,"Plate",1997,"Simplicit","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","MenTouGou",36286
"207848",207848,116.39391,39.842515,1111027379266,"2012-07-04",7,0,228,25492,89.44,2,1,1,1,15,"Plate/Tower",2010,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","FengTai",66193
"89077",89077,116.354733,39.931695,1111027376242,"2017-12-29",9,20,470,111905,42,1,1,1,1,6,"Plate",1988,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",110516
"96229",96229,116.35699,40.093976,1111027380088,"2013-05-08",7,0,318,25461,124.9,3,1,1,1,6,"Plate",2005,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","ChangPing",46280
"258253",258253,116.2338,39.90686,1111027381888,"2016-06-10",1,20,209,36488,57.28,2,1,1,1,6,"Plate",1986,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ShiJingShan",49154
"211913",211913,116.2959,39.87353,1111027380521,"2013-05-30",1,0,255,37167,68.61,1,2,1,1,24,"Tower",1999,"Other","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","FengTai",56819
"56967",56967,116.265774,40.170928,1111027375904,"2017-02-13",30,31,185,51967,35.6,1,0,1,1,18,"Plate/Tower",2010,"Hardcover","Steel/Concrete",0.154,"Has_Elevator","Ownership > 5y","No_Subway","ChangPing",43737
"133266",133266,116.471508,40.000031,1111027374003,"2014-02-09",7,0,1150,51388,223.79,4,2,1,3,23,"Tower",2010,"Other","Steel/Concrete",0.429,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",103324
"208265",208265,116.427644,39.872632,1111027378689,"2012-07-01",7,0,147,26825,54.8,2,1,1,1,6,"Plate",1988,"Other","Brick/Concrete",0.333,"No_elevator","Ownership < 5y","Has_Subway","FengTai",55471
"55588",55588,116.316963,40.056306,1111027382721,"2017-03-10",64,258,359,65416,54.88,1,1,1,1,6,"Plate",2000,"Simplicit","Mixed",0.25,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",52911
"269096",269096,116.6648,39.94293,1111027381046,"2013-12-15",7,10,244,18689,130.56,3,2,1,2,6,"Plate",2002,"Other","Steel/Concrete",0.5,"No_elevator","Ownership < 5y","No_Subway","TongZhou",37601
"248739",248739,116.2686,39.93357,1111027377818,"2016-03-19",1,1,900,66451,135.44,3,2,1,2,9,"Plate",2003,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",91180
"59565",59565,116.314055,39.920498,1111027378719,"2017-03-01",22,31,548,115857,47.3,2,1,1,1,6,"Plate",1988,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","HaiDian",94911
"242822",242822,116.35,39.99277,1111027382338,"2015-07-06",1,4,285,50803,56.1,2,1,1,1,6,"Plate",1983,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",86119
"185948",185948,116.429768,39.898926,1111027381367,"2013-03-24",7,0,182,50152,36.29,1,1,1,1,13,"Plate/Tower",2007,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","Has_Subway","DongCheng",103883
"286642",286642,116.3905,39.95729,1111027375583,"2015-03-29",1,3,326,57874,56.33,1,1,1,1,7,"Plate",2003,"Other","Steel/Concrete",0.333,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",128939
"193694",193694,116.419054,39.865508,1111027376741,"2016-02-28",1,9,248,36796,67.4,3,1,1,1,16,"Tower",1993,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","Has_Subway","FengTai",55915
"97907",97907,116.354287,40.079237,1111027378213,"2013-12-01",7,25,291,24277,119.87,3,1,1,1,6,"Plate",2005,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",39995
"257015",257015,116.1927,39.92151,1111027374526,"2015-11-18",7,18,115,27526,41.78,1,1,1,1,6,"Plate",1989,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ShiJingShan",46904
"78313",78313,116.521988,39.927428,1111027378890,"2017-09-15",61,122,460,71808,64.06,1,1,1,1,16,"Tower",2008,"Hardcover","Steel/Concrete",0.3,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",73994
"36696",36696,116.345863,39.877035,1111027379116,"2016-10-30",42,20,455,75232,60.48,1,1,1,1,19,"Plate",2008,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","FengTai",81880
"18469",18469,116.227892,39.780755,1111027380035,"2016-08-18",39,7,199.3,18622,107,3,1,1,1,6,"Plate",2003,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","FangShang",31653
"108497",108497,116.322609,40.082706,1111027375049,"2015-11-23",7,1,210,29167,72,2,1,1,1,7,"Plate",1996,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","ChangPing",47794
"274751",274751,116.3482,39.88563,1111027376718,"2011-12-30",7,0,90,20591,43.71,1,1,1,1,6,"Plate",1990,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","XiCheng",87088
"200685",200685,116.342088,39.749733,1111027378968,"2015-01-27",1,2,142,23742,59.81,2,1,1,1,6,"Plate",1995,"Simplicit","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","FaXing",41149
